[23:19:21] [info] APP: Clicked Object ID = 0
[23:19:21] [info] APP: Clicked Object ID = 0
[23:19:21] [info] APP: Clicked Object ID = 0
[23:19:21] [info] APP: Clicked Object ID = 0
[23:19:21] [info] APP: Clicked Object ID = 0
[23:19:24] [info] APP: Clicked Object ID = 1
[23:19:24] [info] APP: Clicked Object ID = 1
[23:19:24] [info] APP: Clicked Object ID = 1
[23:19:24] [info] APP: Clicked Object ID = 1
[23:19:24] [info] APP: Clicked Object ID = 1
[23:19:24] [info] APP: Clicked Object ID = 1
[23:19:24] [info] APP: Clicked Object ID = 1
[23:19:24] [info] APP: Clicked Object ID = 1
[23:19:24] [info] APP: Clicked Object ID = 1
[23:19:24] [info] APP: Clicked Object ID = 1
[23:19:24] [info] APP: Clicked Object ID = 1
[23:19:24] [info] APP: Clicked Object ID = 1
[23:19:24] [info] APP: Clicked Object ID = 1
[23:19:24] [info] APP: Clicked Object ID = 1
